EXCHANGE,CABLE_NAME,FIBER_PAIR,REMARKS,STATUS,CABLE_TYPE,DSA_NUM,ACCESS_POINT,ROUTE,PEDESTAL,AP_ADDRESS,MAP,CONDITION_CODE,COMMENTS,CIRCUIT_ID,CIRCUIT_DESIGN_ID,EUL_NAME,STREET_ADDRESS,ADDL_INFO,CLLI_CODE
LAVERGNE,FDHAJ,1,,Unassigned,PON-DISTR,24100,241-AJ-494 FP11,494,FP11,FOREST RIDGE DR,MAP-33,,,,,241-02-011530,395 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,2,,Inservice,PON-DISTR,24100,241-AJ-494 FP11,494,FP11,FOREST RIDGE DR,MAP-33,,,241-02-011537/    /ONT LINK/3276366,3276366,241-02-011537,396 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,3,,Inservice,PON-DISTR,24100,241-AJ-494 FP11,494,FP11,FOREST RIDGE DR,MAP-33,,,241-AJ-011551/    /ONT LINK/3181394,3181394,241-AJ-011551,397 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,4,,Inservice,PON-DISTR,24100,241-AJ-494 FP11,494,FP11,FOREST RIDGE DR,MAP-33,,,241-AJ-011586//ONT LINK/2930492,2930492,241-AJ-011586,398 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,6,,Unassigned,PON-DISTR,24100,241-AJ-522 FP1,522,FP1,FOREST RIDGE DR,MAP-33,,,,,241-02-007782,505 DAVIDS WAY ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,7,,Unassigned,PON-DISTR,24100,241-AJ-522 FP1,522,FP1,FOREST RIDGE DR,MAP-33,,,,,241-02-007777,503 DAVIDS WAY ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,8,,Unassigned,PON-DISTR,24100,241-AJ-494 FP10,494,FP10,FOREST RIDGE DR,MAP-33,,,,,241-AJ-011624,482 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,9,,Unassigned,PON-DISTR,24100,241-AJ-494 FP10,494,FP10,FOREST RIDGE DR,MAP-33,,,,,241-02-011602,479 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,10,,Unassigned,PON-DISTR,24100,241-AJ-494 FP9,494,FP9,FOREST RIDGE DR,MAP-33,,,,,241-AJ-011643,484 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,11,,Unassigned,PON-DISTR,24100,241-AJ-494 FP9,494,FP9,FOREST RIDGE DR,MAP-33,,,,,241-02-011610,481 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,12,,Inservice,PON-DISTR,24100,241-AJ-494 FP9,494,FP9,FOREST RIDGE DR,MAP-33,,,241-AJ-011665//ONT LINK/2934506,2934506,241-AJ-011665,486 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,13,,Unassigned,PON-DISTR,24100,241-AJ-494 FP9,494,FP9,FOREST RIDGE DR,MAP-33,,,,,241-02-011631,483 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,14,,Unassigned,PON-DISTR,24100,241-AJ-494 FP9,494,FP9,FOREST RIDGE DR,MAP-33,,,,,241-02-011648,485 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,15,,Unassigned,PON-DISTR,24100,241-AJ-494 FP8,494,FP8,FOREST RIDGE DR,MAP-33,,,,,241-02-011671,487 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,16,,Unassigned,PON-DISTR,24100,241-AJ-494 FP8,494,FP8,FOREST RIDGE DR,MAP-33,,,,,241-02-011677,488 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,17,,Inservice,PON-DISTR,24100,241-AJ-494 FP8,494,FP8,FOREST RIDGE DR,MAP-33,,,241-02-011684/    /ONT LINK/3141481,3141481,241-02-011684,489 FOREST RIDGE DR ,,LVRGTNXAAJ
LAVERGNE,FDHAJ,18,,Unassigned,PON-DISTR,24100,241-AJ-494 FP8,494,FP8,FOREST RIDGE DR,MAP-33,,,,,241-AJ-011688,490 FOREST RIDGE DR ,,LVRGTNXAAJ
